"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"AV1","2095.3","AV","Árva m.","Árva","királyi","királyi honor","árvai urad.","nemesi","","Balicki","bárói","Corvin János","árvai urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"TR1","558.7","TR","Trencsén m.","Krasznó","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SS1","552.6","SS","Sáros m.","Makovica","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZP5","40.5","SZP","Szepes m.","Béla","nemesi","Rikalf-rokonság","Berzevici-Tarkövi","nemesi","","Tarkövi és Berzevici","nemesi","","Tárcai és Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP4","52.2","SZP","Szepes m.","Dunajec","nemesi","Rikalf-rokonság","Dunajeci","nemesi","","Berzevici Fekete János","bárói","Szapolyai István","dunajeci urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"SS2","269.1","SS","Sáros m.","Ladomér","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SZP1","365.5","SZP","Szepes m.","Lubló","királyi","királyi honor","szepesi ispánság","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"SZP2","75.4","SZP","Szepes m.","Lesznic","nemesi","","Svábi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP6","72.7","SZP","Szepes m.","Tribs","","","","","","","bárói","Szapolyai István","dunajeci urad.","  >","  > bárói","  > bárói","1","2","2"
"ZN1","2168","ZN","Zemplén m.","Homonna","nemesi","","Druget","bárói","Homonnai István és Bertalan","","bárói","Homonnai János","","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR2","254.8","TR","Trencsén m.","Biccse","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai püspök","nemesi","","Tettauer Vilmosné","egyházi > egyházi","egyházi > nemesi","egyházi > nemesi","7","21","14"
"SZP3","89.1","SZP","Szepes m.","Lechnic","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZP7","21.8","SZP","Szepes m.","Alsólapsa","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"TR9","411.2","TR","Trencsén m.","Tizsina","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP8","29.9","SZP","Szepes m.","Katzwinkel","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZN3","438","ZN","Zemplén m.","Sztropkó","nemesi","Ákos","Mikcsfi","bárói","Perényi János (terebesi)","","bárói","Perényi Imre","sztropkói urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SS15","42","SS","Sáros m.","Sárpatak","nemesi","","Cudar","bárói","Cudar Simon","","királyi","királyi város","Bártfa","nemesi > bárói","bárói > királyi","nemesi > királyi","17","12","27"
"SS17","37.8","SS","Sáros m.","Gerlachó","nemesi","","Poháros","nemesi","","Kapi János","nemesi","","Kapi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS14","74","SS","Sáros m.","Bártfa","királyi","város","","királyi","királyi város","","királyi","királyi város","Bártfa","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"TR4","30.3","TR","Trencsén m.","Divina","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","bárói","Szapolyai István","lietavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"SS22","8.6","SS","Sáros m.","Szulin","nemesi","Rikalf-rokonság","Berzevici","nemesi","","Berzevici","nemesi","","Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS16","24.9","SS","Sáros m.","Hrabszke","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR3","64.8","TR","Trencsén m.","Dluhepole","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","nemesi","","Tettauer Vilmosné","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP64","21.2","SZP","Szepes m.","Mátyásfalu","nemesi","Rikalf-rokonság","Dunajeci","nemesi","","Berzevici Fekete János","bárói","Szapolyai István","dunajeci urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"AV2","32.4","AV","Árva m.","Stepanó","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR6","143.2","TR","Trencsén m.","Újhely","királyi","királyi honor","besztercei ispán","nemesi","","Hatnai","nemesi","","Hatnai","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SS23","24","SS","Sáros m.","Matiszova","királyi","királyi honor","szepesi ispánság","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"AV3","6.2","AV","Árva m.","Csimhova","királyi","királyi honor","árvai urad.","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SS21","10.6","SS","Sáros m.","Lagnó","nemesi","Rikalf-rokonság","Berzevici","nemesi","","Berzevici","nemesi","","Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP9","11.5","SZP","Szepes m.","Frankova","nemesi","","Görgei","nemesi","","","bárói","Szapolyai István","dunajeci urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"SZP67","98.9","SZP","Szepes m.","Frankvágás","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SS18","14","SS","Sáros m.","Lénártvágás","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS20","138.4","SS","Sáros m.","Palocsa","királyi","királyi honor","sárosi ispánság","bárói","Bebek (vámosi)","","bárói","Szapolyai István","palocsai urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"SS3","195.5","SS","Sáros m.","Kurima","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR5","22.1","TR","Trencsén m.","Nagyrudina","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SZP29","36.6","SZP","Szepes m.","Podolin","királyi","város","","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"TR57","91","TR","Trencsén m.","Styavnik","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Podmanicki","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP10","56.9","SZP","Szepes m.","Lándok","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi","Szent Sír lovagrend","lándoki prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SS76","5.9","SS","Sáros m.","Kriva","nemesi","","Perényi","nemesi","","Perényi Miklós (rihnói)","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS27","174.1","SS","Sáros m.","Újvár","nemesi","Ákos","Mikcsfi","bárói","Perényi János (terebesi)","","bárói","Perényi Imre","újvári urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"SS19","227.1","SS","Sáros m.","Tarko","nemesi","Rikalf-rokonság","Tarkövi","nemesi","","Tarkövi","nemesi","","Tárcai Miklós","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP28","178.1","SZP","Szepes m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP11","117.1","SZP","Szepes m.","Javorina","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"SS13","72.7","SS","Sáros m.","Richvald","nemesi","","Perényi","nemesi","","Perényi Miklós (rihnói)","királyi","királyi város","Bártfa","nemesi > nemesi","nemesi > királyi","nemesi > királyi","20","35","27"
"SZP72","12.3","SZP","Szepes m.","Relyov","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi","karthauziak","lechnici perjel","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"TR61","89.8","TR","Trencsén m.","Jeszenic","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai püspök","nemesi","","Tettauer Vilmosné","egyházi > egyházi","egyházi > nemesi","egyházi > nemesi","7","21","14"
"TR62","108.4","TR","Trencsén m.","Hatne","nemesi","","Hatnai","nemesi","","Hatnai","nemesi","","Hatnai","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR18","8.9","TR","Trencsén m.","Luki","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR8","16","TR","Trencsén m.","Felsovadicsó","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SS11","87.5","SS","Sáros m.","Hertnek","nemesi","","Perényi","nemesi","","Perényi Miklós (rihnói)","bárói","Szapolyai István","","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"TR63","321.1","TR","Trencsén m.","Lednic","nemesi","Rátót","Paksi","nemesi","","Bielik","nemesi","","Nehéz (lednici)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR7","12.1","TR","Trencsén m.","Alsóvadicsó","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR14","2.3","TR","Trencsén m.","Oskerda","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"ZN2","129.5","ZN","Zemplén m.","Hosszúmezo","nemesi","","Zbugyai","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP27","10.7","SZP","Szepes m.","Bierbrunn","nemesi","Rikalf-rokonság","Berzevici-Tarkövi","nemesi","","Tarkövi és Berzevici","nemesi","","Tárcai és Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR19","3.5","TR","Trencsén m.","Szvedernik","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP12","84.8","SZP","Szepes m.","Béla","királyi","szászok","","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"TR15","2.7","TR","Trencsén m.","Kisrudina","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","Hatnai","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR10","68.8","TR","Trencsén m.","Óvár","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Pongrác (szentmiklósi)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SS8","39.3","SS","Sáros m.","Kucsin","nemesi","","Perényi","bárói","Perényi János (terebesi)","","királyi","Szapolyai István","sárosi urad.","nemesi > bárói","bárói > királyi","nemesi > királyi","17","12","27"
"TR13","19.2","TR","Trencsén m.","Sznezsnica","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Pongrác (szentmiklósi)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR20","2.8","TR","Trencsén m.","Oblazó","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR21","18.1","TR","Trencsén m.","Kotessó","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","nemesi","","Tettauer Vilmosné","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR16","28.7","TR","Trencsén m.","Budetin","királyi","királyi honor","besztercei ispán","nemesi","","Hatnai","nemesi","","Hatnai","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SS24","20.3","SS","Sáros m.","Feketekút","nemesi","Rikalf-rokonság","Berzevici","nemesi","","Berzevici","nemesi","","Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS4","17.1","SS","Sáros m.","Boksa","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"AV11","7.5","AV","Árva m.","Zászkal","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR22","8","TR","Trencsén m.","Hlinik","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR17","5","TR","Trencsén m.","Divinka","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","nemesi","","","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"AV12","7","AV","Árva m.","Benyólehota","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"LP6","89","LP","Liptó m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"AV13","6.9","AV","Árva m.","Revisnye","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR24","38.6","TR","Trencsén m.","Hricsó","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","nemesi","","Tettauer Vilmosné","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"LP11","678.4","LP","Liptó m.","Újvár","királyi","királyi honor","liptói-turóci-gömöri ispán","királyi","királyné","liptói ispánság","bárói","Szapolyai István","liptóújvári urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"TR12","9","TR","Trencsén m.","Nedec","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR11","8.1","TR","Trencsén m.","Gbelán","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP13","105.6","SZP","Szepes m.","Késmárk","királyi","szászok","","királyi","királyi város","","bárói","Szapolyai István","késmárki urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"TR28","12.3","TR","Trencsén m.","Teplic","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SS9","180.8","SS","Sáros m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR137","4.3","TR","Trencsén m.","Sztrázsó","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","bárói","Szapolyai István","lietavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"SS25","128.5","SS","Sáros m.","Berzevice","nemesi","Rikalf-rokonság","Berzevici","nemesi","","Berzevici","nemesi","","Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS26","9.4","SS","Sáros m.","Olsavica","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"AV14","10.5","AV","Árva m.","Isztebne","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"LP5","96.2","LP","Liptó m.","Szelnice","királyi","királyi honor","liptói-turóci-gömöri ispán","királyi","királyné","liptói ispánság","bárói","Corvin János","likavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"SS6","113.6","SS","Sáros m.","Komlóskeresztes","nemesi","Aba","Somosi","nemesi","","Somosi György","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZN4","29.4","ZN","Zemplén m.","Olsva","nemesi","Básztély","Rozgonyi","bárói","Rozgonyi János id.","","bárói","Rozgonyi István","csicsvai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR27","21.4","TR","Trencsén m.","Zsolna","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP30","45.1","SZP","Szepes m.","Hundertmark","nemesi","Rikalf-rokonság","Berzevici-Tarkövi","nemesi","","Tarkövi és Berzevici","nemesi","","Tárcai és Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS12","10.7","SS","Sáros m.","Fricske","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"LP13","618.5","LP","Liptó m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"AV4","16.8","AV","Árva m.","Malatina","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"LP10","107.8","LP","Liptó m.","Pribilina","nemesi","Bogomér-rokonság","Szentmiklósi","nemesi","","Szentmiklósi","nemesi","","Pongrác (szentmiklósi)","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS7","18.2","SS","Sáros m.","Kapronca","nemesi","","Cudar","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP14","113.5","SZP","Szepes m.","Kakaslomnic","nemesi","Rikalf-rokonság","Berzevici-Tarkövi","nemesi","","Tarkövi és Berzevici","nemesi","","Tárcai és Berzevici","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS43","22.6","SS","Sáros m.","Hradiszkó","királyi","királyi honor","sárosi ispánság","bárói","Perényi János (terebesi)","","bárói","Szapolyai István","sárosi urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"TR25","66.4","TR","Trencsén m.","Lietava","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","bárói","Szapolyai István","lietavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"TR23","49.5","TR","Trencsén m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"AV15","4.2","AV","Árva m.","Zahrabove","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TC1","134.6","TC","Turóc m.","Szklabinya","királyi","királyi honor","liptói-turóci-gömöri ispán","nemesi","","Balicki","bárói","Szapolyai István","szklabinyai urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"TR29","3.3","TR","Trencsén m.","Mojs","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR26","3.4","TR","Trencsén m.","Horka","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","nemesi","","","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"AV6","19.8","AV","Árva m.","Felsokubin","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR31","27","TR","Trencsén m.","Trnove","királyi","királyi honor","besztercei ispán","királyi","királyné","lietava-hricsói urad.","bárói","Szapolyai István","lietavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"TR32","54.4","TR","Trencsén m.","Roszina","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SS5","11.8","SS","Sáros m.","Fias","nemesi","","Cudar","bárói","Cudar Simon","","bárói","Perényi Imre","makovicai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR55","6.9","TR","Trencsén m.","Predmér","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Podmanicki","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"AV10","3.5","AV","Árva m.","Gecel","királyi","királyi honor","árvai urad.","nemesi","","Balicki","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR60","5.5","TR","Trencsén m.","Kisjeszenic","egyházi","püspök","nyitrai","egyházi","püspök","nyitrai püspök","nemesi","","","egyházi > egyházi","egyházi > nemesi","egyházi > nemesi","7","21","14"
"TR30","33","TR","Trencsén m.","Sztrecsény","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Horvát Márk (kamicsáci)","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TR134","2.7","TR","Trencsén m.","Miksófalva","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"SZP26","6.5","SZP","Szepes m.","Sztrázs","nemesi","Rikalf-rokonság","Tarkövi","nemesi","","Tarkövi","nemesi","","Tárcai Miklós","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS37","30","SS","Sáros m.","Kisszeben","királyi","város","","királyi","királyi város","","királyi","királyi város","Kisszeben","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"SS42","65.6","SS","Sáros m.","","nemesi","Tekele","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP17","39.1","SZP","Szepes m.","Stóla","egyházi","bencések","stólai perjel","egyházi","bencések","stólai perjel","egyházi","bencések","stólai perjel","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"AV9","42.1","AV","Árva m.","Zsaskó","királyi","királyi honor","árvai urad.","nemesi","","Balicki","bárói","Corvin János","árvai urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"SZP16","69.5","SZP","Szepes m.","Batizfalva","nemesi","Batiz-rokonság","Márkusfalvi","nemesi","","Máriási","nemesi","","Máriási István","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS38","19.6","SS","Sáros m.","Jakabfalva","királyi","királyi honor","sárosi ispánság","nemesi","","Upori","királyi","királyi város","Kisszeben","királyi > nemesi","nemesi > királyi","királyi > királyi","15","35","20"
"SS29","73.8","SS","Sáros m.","","nemesi","Tekele","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SZP15","69.9","SZP","Szepes m.","Mühlenbach","királyi","szászok","","királyi","királyi honor","szepesi ispán","bárói","Szapolyai István","szepesvári urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"SS28","14.6","SS","Sáros m.","Vörösalma","nemesi","Rikalf-rokonság","Tarkövi","nemesi","","Tarkövi","nemesi","","Tárcai Miklós","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"AV5","4.3","AV","Árva m.","Oszádka","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"TR58","2.7","TR","Trencsén m.","Felsopodvázs","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Podmanicki","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"ZN5","161.3","ZN","Zemplén m.","Mogyorós","nemesi","Básztély","Rozgonyi","bárói","Rozgonyi István id.","","bárói","Rozgonyi István","csicsvai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"TR56","5.9","TR","Trencsén m.","Rassó","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Podmanicki","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"SZP25","151.7","SZP","Szepes m.","Leibic","királyi","szászok","","idegen","Lengyelország","","idegen","Lengyelország","","királyi > idegen","idegen > idegen","királyi > idegen","13","22","19"
"TR133","2.2","TR","Trencsén m.","Urbánfalva","királyi","királyi honor","besztercei ispán","nemesi","","","nemesi","","","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"TR36","251.4","TR","Trencsén m.","Beszterce","királyi","királyi honor","besztercei ispán","királyi","királyné","trencséni ispánság","nemesi","","Podmanicki","királyi > királyi","királyi > nemesi","királyi > nemesi","14","29","21"
"TC3","43.1","TC","Turóc m.","Szucsány","királyi","királyi honor","liptói-turóci-gömöri ispán","nemesi","","Thurzó","nemesi","","Horvát Márk (kamicsáci)","királyi > nemesi","nemesi > nemesi","királyi > nemesi","15","36","21"
"LP12","182.7","LP","Liptó m.","Vázsec","nemesi","Bogomér-rokonság","Szentiváni","nemesi","","Szentiváni","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SS10","5.5","SS","Sáros m.","Zsetek","királyi","királyi honor","sárosi ispánság","bárói","Perényi János (terebesi)","","bárói","Szapolyai István","sárosi urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"AV7","13.1","AV","Árva m.","Jaszenova","királyi","királyi honor","árvai urad.","nemesi","","Balicki","bárói","Corvin János","árvai urad.","királyi > nemesi","nemesi > bárói","királyi > bárói","15","32","17"
"LP1","760.9","LP","Liptó m.","Likava","királyi","királyi honor","liptói-turóci-gömöri ispán","királyi","királyné","liptói ispánság","bárói","Corvin János","likavai urad.","királyi > királyi","királyi > bárói","királyi > bárói","14","25","17"
"SS44","8.7","SS","Sáros m.","Ádámfölde","királyi","királyi honor","sárosi ispánság","bárói","Rozgonyi család","","bárói","Rozgonyi István","csicsvai urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"SZP31","177.1","SZP","Szepes m.","Locse","királyi","szászok","","királyi","királyi város","","királyi","királyi város","Locse","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
