"KOD","BIRTOKTER","MEGYEKOD","MEGYENEV","BIRTOKNEV","Y1382","Y13820","NEV_1382","Y1439","Y14390","NEVE_1439","Y1498","Y14980","NEVE_1498","v82_39","v39_98","v_82_98","v1","v2","v3"
"ZL184","23.4","ZL","Zala m.","Dörgicse","egyházi","társaskáptalan","fehérvári orkanonok","egyházi","társaskáptalan","fehérvári orkanonok","egyházi","társaskáptalan","fehérvári orkanonok","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KL31","130.7","KL","Kolozs m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"BÉ17","229.5","BÉ","Békés m.","Békés","királyi","királyi honor","gyulai urad.","bárói","Maróti László","","bárói","Corvin János","gyulai urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"BÉ1","74.6","BÉ","Békés m.","Szentandrás","nemesi","Bár-Kalán","Pósafi","nemesi","","Pósafi István","bárói","Corvin János","gyulai urad.","nemesi > nemesi","nemesi > bárói","nemesi > bárói","20","32","24"
"ZL156","43.6","ZL","Zala m.","Tátika","nemesi","Hermán","Lackfi","bárói","Peto László","","nemesi","","Peto (gersei)","nemesi > bárói","bárói > nemesi","nemesi > nemesi","17","13","28"
"BÉ10","66.5","BÉ","Békés m.","Szarvas","","","","","","","nemesi","","Ábránfi","  >","  > nemesi","  > nemesi","1","6","6"
"ZL161","19","ZL","Zala m.","Felsozsid","egyházi","székeskáptalan","gyori","egyházi","székeskáptalan","gyori káptalan","egyházi","székeskáptalan","gyori káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"BI123","25.4","BI","Bihar m.","Gyor","egyházi","premontreiek","váradelohegyi prépost","egyházi","premontreiek","váradelohegyi prépost","egyházi","premontreiek","váradelohegyi prépost","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SM2","18.5","SM","Somogy m.","Fok","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi","bencések","tihanyi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"KL41","27.2","KL","Kolozs m.","Aranykút","nemesi","Kökényesradnót","Bogáti","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL106","9.2","ZL","Zala m.","","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL241","6.8","ZL","Zala m.","Udvari","egyházi","több egyházi birtokos","","egyházi","több egyházi birtokos","","egyházi","több egyházi birtokos","","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"BI170","15.7","BI","Bihar m.","Bagd","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL105","4.4","ZL","Zala m.","Szentiván","egyházi","ciszterciek","szentgotthárdi apát","egyházi","ciszterciek","szentgotthárdi apát","egyházi","ciszterciek","szentgotthárdi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"SZO16","26.1","SZO","Szolnok m.","Felsoalpár","nemesi","","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"KL6","296.4","KL","Kolozs m.","Valkó","nemesi","Mikola-rokonság","","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VP131","16.8","VP","Veszprém m.","Maros","nemesi","Péc","Marcali","bárói","Marcali Imre és György","","bárói","Bátori György","babócsai urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
"PE97","77.9","PE","Pest m.","Szentlorinc","","","","","","","","ismeretlen birtokos","","  >","  >","  >","1","1","1"
"SZK1","1706.1","SZK","Székelyföld","Maros","királyi","székelyek","","királyi","székelyek","","királyi","Székelyföld","Maros szék","királyi > királyi","királyi > királyi","királyi > királyi","14","28","20"
"BI135","40.8","BI","Bihar m.","Szalonta","nemesi","Told","Toldi","nemesi","","Toldi","nemesi","","Toldi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"KL42","32.1","KL","Kolozs m.","Csehtelke","nemesi","","Mócsi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL144","10.2","ZL","Zala m.","Vindornyaszolos","nemesi","Péc","Szolosi","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"VS61","5","VS","Vas m.","Szentgotthárd","egyházi","ciszterciek","szentgotthárdi apát","egyházi","ciszterciek","szentgotthárdi apát","egyházi","ciszterciek","szentgotthárdi apát","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"ZL79","4.9","ZL","Zala m.","Vitenyéd","egyházi","társaskáptalan","vasvári","egyházi","társaskáptalan","vasvári káptalan","egyházi","társaskáptalan","vasvári káptalan","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"VS62","6.8","VS","Vas m.","Dobra","királyi","királyi honor","vasi-soproni ispánság","bárói","Szécsi János (felsolendvai)","","bárói","Szécsi Miklós","dobrai urad.","királyi > bárói","bárói > bárói","királyi > bárói","11","9","17"
"ZL246","6.4","ZL","Zala m.","Tagyon","egyházi","több egyházi birtokos","","egyházi","több egyházi birtokos","","egyházi","több egyházi birtokos","","egyházi > egyházi","egyházi > egyházi","egyházi > egyházi","7","18","11"
"VP142","42.7","VP","Veszprém m.","Pata","nemesi","Kacsics","Szécsényi","nemesi","","Battyáni","nemesi","","Battyáni","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"SO9","44.3","SO","Solt m.","Apostag","nemesi","Rátót","Paksi","nemesi","","Paksi","nemesi","","Paksi","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL104","6.2","ZL","Zala m.","Kisfalud","nemesi","","Mórichelyi Farkas","nemesi","","","nemesi","","","nemesi > nemesi","nemesi > nemesi","nemesi > nemesi","20","36","28"
"ZL145","18","ZL","Zala m.","Szentlászló","nemesi","","Szentlászlói","bárói","Marcali Imre","","bárói","Bátori György","szentgyörgyi urad.","nemesi > bárói","bárói > bárói","nemesi > bárói","17","9","24"
